spp	day	fung	rep	status
Y	5	test	12	0
Y	5	test	13	1
Y	5	test	14	1
Y	5	test	15	0
Y	5	test	16	1
Y	5	test	17	1
Y	5	test	18	1
Y	5	test	19	1
Y	5	test	20	1
Y	5	test	21	0
Y	5	test	22	1
Y	5	test	23	1
Y	5	test	24	1
Y	5	test	25	1
X	5	A	1	1
X	5	A	2	1
X	5	A	3	1
X	5	A	4	1
X	5	A	5	0
X	5	A	6	0
X	5	A	7	1
X	5	A	8	1
X	5	A	9	1
X	5	A	10	1
X	5	A	11	0
X	5	A	12	0
X	5	A	13	0
X	5	A	14	1
X	5	A	15	0
X	5	A	16	0
X	5	A	17	0
X	5	A	18	0
X	5	A	19	0
X	5	A	20	1
X	5	A	21	0
X	5	A	22	0
X	5	A	23	0
X	5	A	24	0
X	5	A	25	0
Y	5	A	1	1
Y	5	A	2	1
Y	5	A	3	1
Y	5	A	4	1
Y	5	A	5	0
Y	5	A	6	1
Y	5	A	7	1
Y	5	A	8	0
Y	5	A	9	1
Y	5	A	10	1
Y	5	A	11	0
Y	5	A	12	0
Y	5	A	13	1
Y	5	A	14	1
Y	5	A	15	1
Y	5	A	16	1
Y	5	A	17	1
Y	5	A	18	1
Y	5	A	19	1
Y	5	A	20	1
Y	5	A	21	1
Y	5	A	22	1
Y	5	A	23	1
Y	5	A	24	1
Y	5	A	25	0
X	5	B	1	1
X	5	B	2	0
X	5	B	3	0
X	5	B	4	0
X	5	B	5	0
X	5	B	6	0
X	5	B	7	0
X	5	B	8	0
X	5	B	9	0
X	5	B	10	1
X	5	B	11	0
X	5	B	12	0
X	5	B	13	0
X	5	B	14	0
X	5	B	15	0
X	5	B	16	0
X	5	B	17	0
X	5	B	18	0
X	5	B	19	1
X	5	B	20	0
X	5	B	21	0
X	5	B	22	0
X	5	B	23	0
X	5	B	24	1
X	5	B	25	0
Y	5	B	1	1
