
iso	pop	rep	ss	fun	mw	dis
11H005	EX	2	1000	Fp	396.72	65.00
11H005	EX	2	100	Fp	396.72	39.00
11H006	EX	1	1000	Fp	396.72	55.30
11H006	EX	1	100	Fp	396.72	33.60
11H006	EX	2	1000	Fp	396.72	65.00
11H006	EX	2	100	Fp	396.72	38.80
11H011	EX	1	1000	Fp	396.72	46.80
11H011	EX	2	1000	Fp	396.72	44.40
11H012	EX	1	1000	Fp	396.72	57.40
11H012	EX	2	1000	Fp	396.72	45.10
11H016	EX	1	1000	Fp	396.72	46.80
11H016	EX	2	1000	Fp	396.72	44.90
11H017	EX	1	1000	Fp	396.72	25.10
11H017	EX	2	1000	Fp	396.72	20.90
11H018	EX	1	1000	Fp	396.72	43.00
11H018	EX	2	1000	Fp	396.72	43.00
11H022	EX	1	1000	Fp	396.72	15.00
11H022	EX	2	1000	Fp	396.72	20.10
11H023	EX	1	1000	Fp	396.72	38.20
11H023	EX	2	1000	Fp	396.72	39.00
11H024	EX	1	1000	Fp	396.72	43.80
11H024	EX	2	1000	Fp	396.72	40.40
11H028	EX	1	1000	Fp	396.72	57.80
11H028	EX	1	100	Fp	396.72	40.70
11H028	EX	2	1000	Fp	396.72	65.00
11H028	EX	2	100	Fp	396.72	34.70
11H030	EX	1	1000	Fp	396.72	34.90
11H030	EX	2	1000	Fp	396.72	27.80
11H031	EX	1	1000	Fp	396.72	58.90
11H031	EX	2	1000	Fp	396.72	50.40
11H034	EX	1	1000	Fp	396.72	52.50
11H034	EX	2	1000	Fp	396.72	56.60
11H035	EX	1	1000	Fp	396.72	17.90
11H035	EX	1	10000	Fp	396.72	39.60
11H035	EX	2	1000	Fp	396.72	27.10
11H035	EX	2	10000	Fp	396.72	37.00
11H041	EX	1	1000	Fp	396.72	42.60
11H041	EX	2	1000	Fp	396.72	53.00
11H042	EX	1	1000	Fp	396.72	35.60
11H042	EX	2	1000	Fp	396.72	47.10
11H046	EX	1	1000	Fp	396.72	31.50
11H046	EX	2	1000	Fp	396.72	49.30
11H047	EX	1	1000	Fp	396.72	37.20
11H047	EX	2	1000	Fp	396.72	55.60
